,Labels,MAL,NV,BCC,AK,BK,DF,SCC
0,0.0,0.378173828125,0.1966552734375,0.0136566162109375,0.0499267578125,0.315185546875,0.02880859375,0.0177001953125
1,0.0,0.299560546875,0.184326171875,0.09393310546875,0.1669921875,0.142333984375,0.064697265625,0.048065185546875
2,0.0,0.537109375,0.4208984375,0.01299285888671875,0.0008869171142578125,0.021942138671875,0.005023956298828125,0.0012102127075195312
3,0.0,0.0233917236328125,0.962890625,0.0022430419921875,0.0018663406372070312,0.00386810302734375,0.00565338134765625,0.00012302398681640625
4,0.0,0.0714111328125,0.8837890625,0.0026836395263671875,0.0010309219360351562,0.032470703125,0.00846099853515625,0.00013315677642822266
5,0.0,0.0816650390625,0.06512451171875,0.11761474609375,0.2841796875,0.357666015625,0.034759521484375,0.058929443359375
6,0.0,0.0714111328125,0.02362060546875,0.217529296875,0.048492431640625,0.54931640625,0.01052093505859375,0.07928466796875
7,0.0,0.0049896240234375,0.94287109375,0.00722503662109375,0.0023345947265625,0.038238525390625,0.004119873046875,5.066394805908203e-05
8,0.0,0.359619140625,0.452880859375,0.0181121826171875,0.004314422607421875,0.158203125,0.004901885986328125,0.0019054412841796875
9,0.0,0.71435546875,0.103759765625,0.0789794921875,0.011627197265625,0.01377105712890625,0.031951904296875,0.04534912109375
10,1.0,0.1961669921875,0.583984375,0.0280609130859375,0.044403076171875,0.07769775390625,0.061126708984375,0.00849151611328125
11,1.0,0.0047607421875,0.360595703125,0.00415802001953125,0.00872039794921875,0.62060546875,0.0009589195251464844,0.00015413761138916016
12,1.0,0.0859375,0.5546875,0.030426025390625,0.0074615478515625,0.31298828125,0.007022857666015625,0.0014133453369140625
13,1.0,0.0042724609375,0.9873046875,0.001491546630859375,0.0003333091735839844,0.0044097900390625,0.002414703369140625,1.627206802368164e-05
14,1.0,0.0178680419921875,0.79150390625,0.11138916015625,0.0135955810546875,0.040069580078125,0.024200439453125,0.0013561248779296875
15,1.0,0.030426025390625,0.11822509765625,0.1221923828125,0.412353515625,0.260009765625,0.0294036865234375,0.0274505615234375
16,1.0,0.00433349609375,0.63427734375,0.01678466796875,0.002960205078125,0.331787109375,0.0096282958984375,0.00015628337860107422
17,1.0,0.0286865234375,0.6513671875,0.053253173828125,0.006763458251953125,0.246826171875,0.0120697021484375,0.00102996826171875
18,1.0,0.3369140625,0.259521484375,0.0103759765625,0.0177764892578125,0.36083984375,0.0087432861328125,0.005664825439453125
19,1.0,0.0068511962890625,0.091796875,0.01480865478515625,0.00428009033203125,0.0007658004760742188,0.87841796875,0.003017425537109375
