,Labels,MAL,NV,BCC,AK,BK,DF,SCC
0,0.0,0.59521484375,0.01448822021484375,0.11163330078125,0.00405120849609375,0.0026149749755859375,0.265625,0.006298065185546875
1,0.0,0.27587890625,0.5126953125,0.0021114349365234375,0.00705718994140625,0.19873046875,0.0011034011840820312,0.002532958984375
2,0.0,0.56787109375,0.01413726806640625,0.10748291015625,0.1766357421875,0.03228759765625,0.0966796875,0.004779815673828125
3,0.0,0.79345703125,0.2061767578125,7.152557373046875e-07,2.384185791015625e-07,0.00019609928131103516,2.205371856689453e-06,2.086162567138672e-06
4,0.0,0.57177734375,0.1417236328125,0.0024700164794921875,0.0181732177734375,0.264892578125,0.00031685829162597656,0.0006241798400878906
5,0.0,0.68310546875,0.296142578125,0.004306793212890625,5.6803226470947266e-05,0.0160369873046875,0.0001342296600341797,0.0003058910369873047
6,0.0,0.99853515625,0.001495361328125,1.9073486328125e-06,5.960464477539063e-08,1.2636184692382812e-05,1.341104507446289e-05,1.9073486328125e-06
7,0.0,0.83056640625,0.00836944580078125,0.149169921875,0.003467559814453125,0.00725555419921875,0.00041174888610839844,0.0008416175842285156
8,0.0,0.99560546875,0.004180908203125,2.980232238769531e-07,7.152557373046875e-07,1.633167266845703e-05,5.960464477539062e-07,9.5367431640625e-07
9,0.0,0.55126953125,0.14501953125,0.031768798828125,0.0010986328125,0.26513671875,0.0016908645629882812,0.004024505615234375
10,0.0,0.208984375,0.7822265625,0.00014412403106689453,1.0848045349121094e-05,0.00836944580078125,5.40614128112793e-05,8.636713027954102e-05
11,0.0,0.9951171875,0.00043964385986328125,0.0003826618194580078,0.0003750324249267578,0.00341796875,6.103515625e-05,0.00016498565673828125
12,0.0,0.19482421875,0.1004638671875,0.1416015625,0.00621795654296875,0.548828125,0.00308990478515625,0.00489044189453125
13,0.0,0.9970703125,0.0031108856201171875,4.76837158203125e-06,5.960464477539063e-08,2.378225326538086e-05,3.5762786865234375e-07,4.291534423828125e-06
14,0.0,0.79931640625,0.1905517578125,0.0001100301742553711,1.4007091522216797e-05,0.01001739501953125,8.654594421386719e-05,6.699562072753906e-05
15,0.0,0.472412109375,0.413818359375,6.133317947387695e-05,0.00017714500427246094,0.0034160614013671875,0.10943603515625,0.00067138671875
16,0.0,0.80078125,0.19775390625,3.68952751159668e-05,8.52346420288086e-06,0.0011339187622070312,0.0002875328063964844,6.181001663208008e-05
17,0.0,0.0181427001953125,0.97705078125,1.6033649444580078e-05,8.463859558105469e-06,0.001850128173828125,0.00312042236328125,2.658367156982422e-05
18,0.0,0.962890625,0.0208892822265625,0.00909423828125,0.0005388259887695312,0.001201629638671875,0.004154205322265625,0.0011501312255859375
19,0.0,0.11712646484375,0.6298828125,0.0142669677734375,0.0027141571044921875,0.22119140625,0.00029969215393066406,0.01451873779296875
20,0.0,0.8662109375,0.08941650390625,0.006443023681640625,0.003002166748046875,0.0031299591064453125,0.0292816162109375,0.0024662017822265625
21,0.0,0.84033203125,0.068359375,0.0518798828125,0.00391387939453125,0.006923675537109375,0.0274658203125,0.0011043548583984375
22,0.0,1.0,3.337860107421875e-06,3.552436828613281e-05,1.1920928955078125e-07,2.9206275939941406e-06,4.76837158203125e-07,1.1622905731201172e-05
23,0.0,0.990234375,0.005695343017578125,0.0010499954223632812,7.045269012451172e-05,0.00222015380859375,6.0617923736572266e-05,0.0004558563232421875
24,0.0,0.98046875,0.01255035400390625,0.0032901763916015625,3.331899642944336e-05,0.0020618438720703125,0.0009860992431640625,0.0007128715515136719
25,0.0,0.9892578125,0.00977325439453125,0.00021910667419433594,4.351139068603516e-06,0.0005803108215332031,6.55055046081543e-05,5.8591365814208984e-05
26,1.0,0.0018863677978515625,0.9755859375,2.1219253540039062e-05,1.2040138244628906e-05,0.0225830078125,1.9669532775878906e-06,3.266334533691406e-05
27,1.0,0.0016679763793945312,0.998046875,0.0,0.0,0.00010114908218383789,3.4570693969726562e-06,3.5762786865234375e-07
28,1.0,0.040618896484375,0.9462890625,2.765655517578125e-05,3.2186508178710938e-06,0.01287841796875,7.539987564086914e-05,6.920099258422852e-05
29,1.0,0.07720947265625,0.9189453125,0.0004868507385253906,3.045797348022461e-05,0.003078460693359375,9.66191291809082e-05,3.0517578125e-05
30,1.0,0.0012445449829101562,0.99853515625,1.0013580322265625e-05,1.0132789611816406e-06,0.0003764629364013672,5.9664249420166016e-05,4.112720489501953e-06
31,1.0,0.06597900390625,0.92529296875,0.0002231597900390625,0.00010055303573608398,0.0076751708984375,0.0006771087646484375,6.121397018432617e-05
