,Labels,MAL,NV,BCC,AK,BK,DF,SCC
0,0.0,0.1495361328125,0.1915283203125,0.127197265625,0.0718994140625,0.26708984375,0.13427734375,0.05828857421875
1,0.0,0.05145263671875,0.484130859375,0.016082763671875,0.00788116455078125,0.40771484375,0.02655029296875,0.006061553955078125
2,0.0,0.0540771484375,0.0343017578125,0.310302734375,0.1990966796875,0.30859375,0.021728515625,0.07183837890625
3,0.0,0.08270263671875,0.494384765625,0.01947021484375,0.028717041015625,0.337646484375,0.0233612060546875,0.01375579833984375
4,0.0,0.0205230712890625,0.0550537109375,0.1353759765625,0.1746826171875,0.055999755859375,0.059783935546875,0.498779296875
5,1.0,0.0244293212890625,0.6474609375,0.0024662017822265625,0.0019063949584960938,0.3095703125,0.01166534423828125,0.002544403076171875
6,1.0,0.044525146484375,0.69970703125,0.00301361083984375,0.0036525726318359375,0.23388671875,0.01263427734375,0.002864837646484375
7,1.0,0.03167724609375,0.89404296875,0.0008168220520019531,0.00080108642578125,0.06475830078125,0.006824493408203125,0.0011606216430664062
8,1.0,0.033111572265625,0.869140625,0.0006318092346191406,0.000713348388671875,0.090576171875,0.004932403564453125,0.0008096694946289062
9,1.0,0.007587432861328125,0.6279296875,0.004589080810546875,0.010162353515625,0.338134765625,0.00957489013671875,0.0020465850830078125
10,1.0,0.0300445556640625,0.6962890625,0.029296875,0.0072021484375,0.1087646484375,0.11053466796875,0.017974853515625
11,1.0,0.032562255859375,0.16162109375,0.051177978515625,0.117431640625,0.62744140625,0.005374908447265625,0.00445556640625
12,1.0,0.055328369140625,0.142578125,0.2470703125,0.232666015625,0.287841796875,0.0202178955078125,0.01427459716796875
13,1.0,0.018798828125,0.277587890625,0.09893798828125,0.2646484375,0.318603515625,0.014404296875,0.00699615478515625
14,1.0,0.018157958984375,0.158935546875,0.0016880035400390625,0.0015916824340820312,0.81494140625,0.002880096435546875,0.0017480850219726562
15,1.0,0.05352783203125,0.64599609375,0.040191650390625,0.054931640625,0.169189453125,0.0269012451171875,0.00913238525390625
16,1.0,0.007198333740234375,0.71630859375,0.0018587112426757812,0.003978729248046875,0.26416015625,0.0052032470703125,0.00131988525390625
17,1.0,0.0091400146484375,0.67333984375,0.0199737548828125,0.0226287841796875,0.26416015625,0.0085906982421875,0.0019931793212890625
18,1.0,0.005298614501953125,0.89892578125,0.0006546974182128906,0.001468658447265625,0.090576171875,0.0025119781494140625,0.0003917217254638672
19,1.0,0.0158233642578125,0.3974609375,0.01043701171875,0.00994110107421875,0.55517578125,0.007694244384765625,0.0036716461181640625
20,1.0,0.019012451171875,0.2042236328125,0.0015935897827148438,0.0016832351684570312,0.76806640625,0.0037059783935546875,0.0018215179443359375
21,1.0,0.046417236328125,0.62548828125,0.0322265625,0.044952392578125,0.2105712890625,0.032806396484375,0.007328033447265625
22,1.0,0.018218994140625,0.9091796875,0.0013780593872070312,0.00098419189453125,0.055084228515625,0.01340484619140625,0.001667022705078125
23,1.0,0.03765869140625,0.431884765625,0.0016613006591796875,0.00217437744140625,0.51708984375,0.00653076171875,0.003192901611328125
24,1.0,0.01047515869140625,0.67333984375,0.001983642578125,0.0024929046630859375,0.30224609375,0.00720977783203125,0.00229644775390625
25,1.0,0.051849365234375,0.282958984375,0.03009033203125,0.0290069580078125,0.56494140625,0.029083251953125,0.01230621337890625
26,1.0,0.0572509765625,0.2349853515625,0.042144775390625,0.10577392578125,0.54150390625,0.01025390625,0.00783538818359375
27,1.0,0.06103515625,0.5,0.0022411346435546875,0.0020084381103515625,0.4228515625,0.00868988037109375,0.0028972625732421875
28,1.0,0.035858154296875,0.74072265625,0.052001953125,0.017578125,0.098876953125,0.048553466796875,0.006336212158203125
29,1.0,0.03692626953125,0.396728515625,0.08953857421875,0.1689453125,0.278564453125,0.0208282470703125,0.00827789306640625
30,1.0,0.044891357421875,0.54638671875,0.048248291015625,0.0150146484375,0.1864013671875,0.133544921875,0.0252685546875
31,1.0,0.039947509765625,0.615234375,0.019073486328125,0.0166168212890625,0.27783203125,0.0256805419921875,0.00595855712890625
32,1.0,0.0294189453125,0.8056640625,0.0014219284057617188,0.001201629638671875,0.1513671875,0.009185791015625,0.0017728805541992188
33,1.0,0.05389404296875,0.79296875,0.005115509033203125,0.002933502197265625,0.1180419921875,0.02435302734375,0.00281524658203125
34,1.0,0.0777587890625,0.64599609375,0.00266265869140625,0.0017004013061523438,0.263427734375,0.006805419921875,0.0018320083618164062
35,1.0,0.029083251953125,0.68310546875,0.006114959716796875,0.004070281982421875,0.246826171875,0.0261383056640625,0.004878997802734375
36,1.0,0.057769775390625,0.404296875,0.005809783935546875,0.005710601806640625,0.5078125,0.01267242431640625,0.00580596923828125
37,1.0,0.0270843505859375,0.1619873046875,0.0016193389892578125,0.0014123916625976562,0.80517578125,0.001750946044921875,0.0012531280517578125
38,1.0,0.03533935546875,0.828125,0.0021114349365234375,0.0015707015991210938,0.12115478515625,0.00986480712890625,0.001857757568359375
