,Labels,MAL,NV,BCC,AK,BK,DF,SCC
0,0.0,0.409912109375,0.016357421875,0.00927734375,0.0179290771484375,0.54443359375,0.00022149085998535156,0.0019817352294921875
1,0.0,0.255859375,0.005741119384765625,0.094970703125,0.27587890625,0.0245361328125,0.1783447265625,0.1646728515625
2,0.0,0.99365234375,0.0007638931274414062,0.0008187294006347656,0.0025081634521484375,0.00022602081298828125,3.6716461181640625e-05,0.002048492431640625
3,0.0,0.99609375,0.0013942718505859375,0.00039887428283691406,0.00023555755615234375,0.0010862350463867188,0.00011283159255981445,0.0005202293395996094
4,0.0,0.0096588134765625,0.5947265625,0.009002685546875,0.0015869140625,0.0003418922424316406,0.384521484375,0.0002636909484863281
5,0.0,0.2410888671875,0.06298828125,0.29541015625,0.10540771484375,0.04833984375,0.1588134765625,0.0880126953125
6,0.0,0.13525390625,0.810546875,0.01371002197265625,0.0016336441040039062,0.027435302734375,0.01094818115234375,0.0004563331604003906
7,0.0,0.986328125,0.0122222900390625,0.0003180503845214844,0.0003044605255126953,0.0005869865417480469,1.9848346710205078e-05,7.271766662597656e-05
8,0.0,0.93310546875,0.0177001953125,0.01444244384765625,0.002803802490234375,0.029815673828125,0.0007205009460449219,0.001636505126953125
9,0.0,0.984375,0.006633758544921875,0.00621795654296875,0.0002605915069580078,0.0004470348358154297,0.00021529197692871094,0.0018739700317382812
10,0.0,0.732421875,0.180908203125,0.035614013671875,0.0004189014434814453,0.047760009765625,0.0020046234130859375,0.000820159912109375
11,0.0,0.9970703125,0.0012912750244140625,0.001064300537109375,5.632638931274414e-05,0.00011020898818969727,4.571676254272461e-05,0.00021326541900634766
12,0.0,0.7568359375,0.10028076171875,0.01107025146484375,0.0003948211669921875,0.1297607421875,0.0008492469787597656,0.0006718635559082031
13,0.0,0.99853515625,0.0009751319885253906,8.45193862915039e-05,6.854534149169922e-06,0.0002968311309814453,2.6226043701171875e-06,6.526708602905273e-05
14,0.0,0.97119140625,0.004436492919921875,0.0011129379272460938,0.00012129545211791992,0.022705078125,6.908178329467773e-05,0.00020635128021240234
15,0.0,0.005657196044921875,0.67529296875,0.0200653076171875,0.013641357421875,0.0350341796875,0.2493896484375,0.000728607177734375
16,1.0,0.00011205673217773438,0.99462890625,0.0010957717895507812,2.866983413696289e-05,0.0020313262939453125,0.0021820068359375,1.0132789611816406e-06
17,1.0,0.037994384765625,0.7041015625,6.318092346191406e-05,0.0016508102416992188,0.256103515625,0.0001424551010131836,6.973743438720703e-06
18,1.0,0.01158905029296875,0.91064453125,0.0193939208984375,0.0089874267578125,0.041351318359375,0.00762939453125,0.0005006790161132812
19,1.0,0.0213165283203125,0.8212890625,0.0027904510498046875,0.0002498626708984375,0.150390625,0.004001617431640625,4.094839096069336e-05
20,1.0,8.463859558105469e-05,0.9990234375,4.124641418457031e-05,5.7220458984375e-06,7.62939453125e-06,0.0007538795471191406,5.960464477539063e-08
21,1.0,0.490966796875,0.49462890625,0.005275726318359375,0.0001481771469116211,0.007678985595703125,0.0012350082397460938,0.00011426210403442383
22,1.0,0.08026123046875,0.91845703125,0.00020134449005126953,0.0003414154052734375,1.7642974853515625e-05,0.0005235671997070312,7.331371307373047e-06
23,1.0,0.0005197525024414062,0.546875,0.0172882080078125,0.0010385513305664062,0.002941131591796875,0.43115234375,0.00010496377944946289
24,1.0,0.005817413330078125,0.791015625,0.002254486083984375,0.00013375282287597656,0.0008096694946289062,0.19970703125,6.949901580810547e-05
25,1.0,0.00011646747589111328,1.0,5.364418029785156e-06,5.364418029785156e-07,6.9141387939453125e-06,9.453296661376953e-05,0.0
26,1.0,0.004444122314453125,0.403564453125,0.0014715194702148438,0.00022363662719726562,0.0007066726684570312,0.58935546875,0.00011092424392700195
27,1.0,0.0011768341064453125,0.98828125,0.006534576416015625,0.0004818439483642578,0.0010824203491210938,0.0026397705078125,2.3543834686279297e-05
28,1.0,0.005153656005859375,0.99365234375,0.0002536773681640625,3.540515899658203e-05,0.0009355545043945312,6.0498714447021484e-05,1.3709068298339844e-06
29,1.0,0.033935546875,0.9599609375,0.004245758056640625,0.00010091066360473633,0.0017843246459960938,0.00014197826385498047,1.0848045349121094e-05
30,1.0,0.0006046295166015625,0.982421875,0.0011386871337890625,2.962350845336914e-05,0.015777587890625,0.0002422332763671875,1.1324882507324219e-06
31,1.0,1.9371509552001953e-05,0.9951171875,0.0014753341674804688,7.253885269165039e-05,0.0023651123046875,0.0009832382202148438,3.5762786865234375e-07
32,1.0,0.040863037109375,0.87939453125,0.0122528076171875,0.0006532669067382812,0.06597900390625,0.0007834434509277344,6.765127182006836e-05
33,1.0,0.0022068023681640625,0.263427734375,0.0229034423828125,0.00036787986755371094,0.0178375244140625,0.69287109375,0.00029087066650390625
34,1.0,2.4199485778808594e-05,0.99658203125,0.0002803802490234375,3.874301910400391e-06,0.0029735565185546875,4.8100948333740234e-05,5.960464477539063e-08
35,1.0,0.0205230712890625,0.73876953125,0.1351318359375,0.01202392578125,0.04205322265625,0.050506591796875,0.0009264945983886719
36,1.0,8.821487426757812e-06,1.0,1.1324882507324219e-06,5.960464477539063e-08,6.794929504394531e-06,1.0132789611816406e-06,0.0
37,1.0,0.00630950927734375,0.9365234375,0.0012340545654296875,8.338689804077148e-05,0.055694580078125,6.222724914550781e-05,1.430511474609375e-06
38,1.0,0.36962890625,0.4755859375,0.0231170654296875,0.05572509765625,0.05517578125,0.01800537109375,0.0028553009033203125
39,1.0,0.8876953125,0.09393310546875,0.0083465576171875,0.0006270408630371094,0.0015897750854492188,0.0065460205078125,0.0010175704956054688
40,1.0,0.303466796875,0.689453125,0.0004963874816894531,0.0007157325744628906,0.0015573501586914062,0.00449371337890625,7.104873657226562e-05
41,1.0,3.439188003540039e-05,1.0,1.7881393432617188e-06,5.364418029785156e-07,2.5391578674316406e-05,2.4437904357910156e-06,0.0
42,1.0,3.159046173095703e-05,0.9990234375,0.00010466575622558594,2.7418136596679688e-06,0.0002892017364501953,0.0004172325134277344,5.960464477539063e-08
43,1.0,1.5497207641601562e-06,1.0,2.0265579223632812e-06,4.172325134277344e-07,1.33514404296875e-05,8.52346420288086e-06,0.0
